Company,Phone,Website,Street,City,State,Zip,Industry,Primary Pitch,Core Service Bundle,MSP-Interim Wedges
Health+Commerce,650-273-7188,http://www.supremegroup.ai,4060 Campus Dr,Newport Beach,California,92660-2205,Healthcare,HIPAA-ready managed IT + 3CX telephony platform ops,My IT · My Security · My Compliance (HIPAA) · My Office (M365) · My Continuity,"My Compliance — HIPAA Technical-Safeguards audit (run alongside their MSP) | Chat.AI — private-tenant AI that does NOT train on patient data (PHI-safe) | My AI — AI strategy session: where AI helps scheduling, auth, intake without touching PHI | Nexus Assess Pulse — external vulnerability + pen-test report for cyber insurance renewal | My AI Lead Gen — patient-acquisition lead gen from public data (not PHI)"
21st Century Lending,888-862-1189,http://www.21stcenturylending.com,26395 Jefferson Ave,Murrieta,California,92562-6977,Financial Services,Compliance-aware managed IT + 3CX + documented audit trail,My IT · My Security · My Compliance (SOC 2 / PCI) · My Continuity · My Office,"My Compliance — SOC 2 Type II readiness assessment | My Security — quarterly pen test with reporting (SEC/FINRA ready) | Chat.AI — private AI for advisor workflows (Reg-BI friendly, never trains on client data) | My AI — AI assistant for underwriting, claims, loan processing | Nexus Assess Pulse — cyber-insurance renewal-ready vuln report"
Machina Labs,888-444-9777,http://www.machinalabs.ai,9410 Owensmouth Ave,Los Angeles,California,91311,Technology & AI,SOC 2 readiness + DevOps + IT ops for tech SMBs,My Compliance (SOC 2) · My Security · My IT · My Dev · My Cloud,"My Compliance — SOC 2 Type II program (often the blocker for enterprise deals) | My Security — SaaS security review + pen test | My Dev — SDLC v7.0 AI-assisted dev acceleration (3-5× faster delivery) | Chat.AI — internal team AI (private, IP-safe; never trains on code) | Nexus Assess Pulse — continuous vuln intelligence"
Technijian USA,(949) 379-8499,technijian.com,"18 Technology Drive, #141",,,,Other,Universal SMB managed IT + security + M365,My IT · My Security · My Office · My Continuity · My Compliance,Chat.AI — private-tenant enterprise AI | My AI — AI strategy session: 30-min assessment of where AI moves the needle | Nexus Assess Pulse — external vuln + pen-test for cyber insurance | My AI Lead Gen — AI-driven outbound lead generation | My SEO — digital presence + search visibility
ELITE FUELS TRANSPORTATION INC,951-274-0555,http://www.elitefueltrans.com,,Bloomington,California,92316,Logistics & Transport,Fleet / dispatch IT + VoIP + hosted infrastructure,My IT · My Sip · My Cloud · My Security · My Continuity,"My AI — route optimization, demand forecasting, predictive ETA | My Dev — TMS / dispatch integrations, EDI automation | Chat.AI — private AI for ops / dispatch playbook automation | Nexus Assess Pulse — cyber-insurance-ready vuln report | My AI Lead Gen — shipper / broker lead gen from public trade data"
Foxterra Design,949-299-4255,http://www.foxterradesign.com,,Irvine,California,,Other,Universal SMB managed IT + security + M365,My IT · My Security · My Office · My Continuity · My Compliance,Chat.AI — private-tenant enterprise AI | My AI — AI strategy session: 30-min assessment of where AI moves the needle | Nexus Assess Pulse — external vuln + pen-test for cyber insurance | My AI Lead Gen — AI-driven outbound lead generation | My SEO — digital presence + search visibility
National Notary Association,800-876-6827,http://www.nationalnotary.org,9350 De Soto Avenue,Los Angeles,California,91311,Other,Universal SMB managed IT + security + M365,My IT · My Security · My Office · My Continuity · My Compliance,Chat.AI — private-tenant enterprise AI | My AI — AI strategy session: 30-min assessment of where AI moves the needle | Nexus Assess Pulse — external vuln + pen-test for cyber insurance | My AI Lead Gen — AI-driven outbound lead generation | My SEO — digital presence + search visibility
Goldberg & Associates,718-432-1022,http://www.goldbergandassociates.com,14370 Ventura Blvd,Los Angeles,California,91423-2755,Professional Services,Managed M365 + secure file collaboration + client-data protection,My Office · My IT · My Security · My Compliance · My Continuity,"Chat.AI — private AI for client-facing teams (confidentiality-safe) | My AI — proposal generation, research automation, client-brief drafting | My Compliance — client-data handling review (often driven by client security questionnaires) | My AI Lead Gen — B2B services prospecting from public signals | My Dev — custom client portals / client-ops tooling"
Canadian Pizza,562-980-7605,http://www.canadianpizzagill.com,1241 E 4th St,Long Beach,California,90802-1832,Hospitality & F&B,Restaurant / hotel IT + POS + WiFi + SEO + content,My IT · My SEO · My Sip · My Security · My Office,"My SEO — restaurant SEO + WordPress program (proven 213 entries / 340 hrs / 4 mo YTD) | My AI — reservation triage, review-response automation, menu personalization | Chat.AI — guest-facing AI concierge (private, no customer-data training) | My AI Lead Gen — event / corporate catering lead gen | My Compliance — PCI-DSS payment-card compliance review"
"Byrom-Davey, Inc.",858-513-7198,http://www.byrom-davey.com,13220 Evening Creek Dr S,San Diego,California,92128,Other,Universal SMB managed IT + security + M365,My IT · My Security · My Office · My Continuity · My Compliance,Chat.AI — private-tenant enterprise AI | My AI — AI strategy session: 30-min assessment of where AI moves the needle | Nexus Assess Pulse — external vuln + pen-test for cyber insurance | My AI Lead Gen — AI-driven outbound lead generation | My SEO — digital presence + search visibility
Adapt2,800-689-4045,http://www.adaptfinancialsolutions.com,2102 Business Center Dr,Irvine,California,92612,Financial Services,Compliance-aware managed IT + 3CX + documented audit trail,My IT · My Security · My Compliance (SOC 2 / PCI) · My Continuity · My Office,"My Compliance — SOC 2 Type II readiness assessment | My Security — quarterly pen test with reporting (SEC/FINRA ready) | Chat.AI — private AI for advisor workflows (Reg-BI friendly, never trains on client data) | My AI — AI assistant for underwriting, claims, loan processing | Nexus Assess Pulse — cyber-insurance renewal-ready vuln report"
Moms in Prayer International,855-769-7729,http://www.momsinprayer.org,13939 Poway Rd,Poway,California,92064-4800,Other,Universal SMB managed IT + security + M365,My IT · My Security · My Office · My Continuity · My Compliance,Chat.AI — private-tenant enterprise AI | My AI — AI strategy session: 30-min assessment of where AI moves the needle | Nexus Assess Pulse — external vuln + pen-test for cyber insurance | My AI Lead Gen — AI-driven outbound lead generation | My SEO — digital presence + search visibility
About My Father's Business Homeless Outreach,805-864-1348,http://www.amfb.org,7210 Jordan Ave,Los Angeles,California,91303-1223,Non-Profit,M365 Nonprofit + mailbox migration + B2B partner collaboration,My Office · My IT · My Security · My Continuity · My Compliance,"My Office — mailbox migration off reseller-hosted O365 + B2B cross-tenant setup with partner agencies | Chat.AI — donor-communication AI (private, grant-reporting-safe) | My AI — grant-writing, impact-report automation, donor segmentation | My SEO — donation-page conversion optimization + SEO for cause awareness | My Compliance — HIPAA (for health non-profits), FERPA (for education), donor-PII review"
